id,name,brand,category,price,rating,colors,is_featured,images,created_at,old_price,slug
10,Vans Old Skool,vans,unisex,89,80,"[{""name"":""Classic"",""slug"":""classic"",""color"":""#507096"",""base_color"":""blue""},{""name"":""Dog Food"",""slug"":""dog-food"",""color"":""#2d2222"",""base_color"":""brown""},{""name"":""Cerydra Move"",""slug"":""cerydra-move"",""color"":""#000000"",""base_color"":""black""}]",false,,2026-08-17 23:16:46.407915+00,119,vans-old-skool
11,New Balance 2002,new balance,men,139,94,"[{""name"":""BB"",""slug"":""bb"",""color"":""#000000"",""base_color"":""black""}]",false,,2026-08-09 12:23:17.873878+00,,new-balance-2002
12,Reebok Floatzig 2,reebok,women,169,91,"[{""name"":""Beach Baby"",""slug"":""beach-baby"",""color"":""#000000"",""base_color"":""black""}]",false,,2026-09-09 05:09:50.848948+00,,reebok-floatzig-2
13,Nike Zoom Vomero 5,nike,unisex,169,79,"[{""name"":""Unhuman Behavior"",""slug"":""unhuman-behavior"",""color"":""#eee1ba"",""base_color"":""brown""},{""name"":""Grass Fly"",""slug"":""grass-fly"",""color"":""#2b4f3d"",""base_color"":""green""},{""name"":""Orange Fruit"",""slug"":""orange-fruit"",""color"":""#8d6db8"",""base_color"":""orange""}]",false,,2026-09-04 17:18:03.098008+00,,nike-zoom-vomero-5
14,Salomon XA Pro 3D V9,salomon,women,229,82,"[{""name"":""Ugly Pie"",""slug"":""ugly-pie"",""color"":""#eee1ba"",""base_color"":""brown""},{""name"":""B Jay"",""slug"":""b-jay"",""color"":""#000000"",""base_color"":""black""},{""name"":""Dobble D"",""slug"":""dobble-d"",""color"":""#8a6f52"",""base_color"":""brown""}]",false,,2026-07-26 22:33:48.294756+00,,salomon-xa-pro-3d-v9
15,New Balance 860,new balance,men,199,85,"[{""name"":""Tripple F"",""slug"":""tripple-f"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""BBB"",""slug"":""bbb"",""color"":""#000000"",""base_color"":""black""}]",false,,2026-08-28 13:18:51.091792+00,,new-balance-860
16,New Balance 725,new balance,men,139,98,"[{""name"":""Bisq"",""slug"":""bisq"",""color"":""#eee1ba"",""base_color"":""brown""},{""name"":""WWW"",""slug"":""www"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""Spare Spoon"",""slug"":""spare-spoon"",""color"":""#d0c9d4"",""base_color"":""grey""}]",true,,2026-08-03 15:47:26.739943+00,169,new-balance-725
17,Puma Milenio Tech,puma,unisex,79,76,"[{""name"":""Z Blizzard"",""slug"":""z-blizzard"",""color"":""#000000"",""base_color"":""black""},{""name"":""W Noise"",""slug"":""w-noise"",""color"":""#ffffff"",""base_color"":""white""}]",false,,2026-07-27 16:19:31.667027+00,,puma-milenio-tech
18,Puma Velophasis Always On,puma,women,109,74,"[{""name"":""Tooth Ache"",""slug"":""tooth-ache"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""Silver Wolf"",""slug"":""silver-wolf"",""color"":""#d0c9d4"",""base_color"":""grey""},{""name"":""Tall Grass"",""slug"":""tall-grass"",""color"":""#2b4f3d"",""base_color"":""green""}]",false,,2026-08-15 17:35:42.432902+00,,puma-velophasis-always-on
19,Streetbeat River,streetbeat,men,109,75,"[{""name"":""Office"",""slug"":""office"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""Dog Fur"",""slug"":""dog-fur"",""color"":""#2d2222"",""base_color"":""brown""},{""name"":""Sky Bird"",""slug"":""sky-bird"",""color"":""#6994c2"",""base_color"":""blue""}]",false,,2026-08-25 05:08:13.194073+00,,streetbeat-river
20,Nike Air Pegasus 2005,nike,men,189,84,"[{""name"":""WH With"",""slug"":""wh-with"",""color"":""#ffffff"",""base_color"":""white""}]",false,,2026-07-22 10:06:26.552857+00,,nike-air-pegasus-2005
21,Puma Inverse Urban Explorer,puma,unisex,209,81,"[{""name"":""Brown Bear"",""slug"":""brown-bear"",""color"":""#2d2222"",""base_color"":""brown""}]",false,,2026-08-28 15:22:41.090375+00,,puma-inverse-urban-explorer
22,Adidas Ozmillen,adidas,women,129,93,"[{""name"":""November"",""slug"":""november"",""color"":""#000000"",""base_color"":""black""},{""name"":""Gee Jay"",""slug"":""gee-jay"",""color"":""#2b4f3d"",""base_color"":""green""},{""name"":""Ordinary G"",""slug"":""ordinary-g"",""color"":""#88858c"",""base_color"":""grey""}]",false,,2026-07-19 05:31:54.816661+00,259,adidas-ozmillen
23,Adidas Response CL,adidas,women,129,78,"[{""name"":""Ordinary G"",""slug"":""ordinary-g"",""color"":""#88858c"",""base_color"":""grey""}]",false,,2026-07-22 16:57:11.092663+00,,adidas-response-cl
24,Adidas Forum Low,adidas,unisex,109,77,"[{""name"":""High Sky"",""slug"":""high-sky"",""color"":""#6994c2"",""base_color"":""blue""},{""name"":""Moon"",""slug"":""moon"",""color"":""#ffffff"",""base_color"":""white""}]",false,,2026-08-21 05:43:36.179332+00,249,adidas-forum-low
